,imgA,imgB,imgA_seg,imgB_seg
6,img/MEN/Tees_Tanks/id_00004047/01_1_front.jpg,img/MEN/Tees_Tanks/id_00004047/01_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00004047/01_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00004047/01_2_side_segment.png
13,img/MEN/Tees_Tanks/id_00004047/01_2_side.jpg,img/MEN/Tees_Tanks/id_00004047/01_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00004047/01_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00004047/01_1_front_segment.png
22,img/WOMEN/Jackets_Coats/id_00005019/03_1_front.jpg,img/WOMEN/Jackets_Coats/id_00005019/03_2_side.jpg,img_seg/WOMEN/Jackets_Coats/id_00005019/03_1_front_segment.png,img_seg/WOMEN/Jackets_Coats/id_00005019/03_2_side_segment.png
25,img/WOMEN/Jackets_Coats/id_00005019/03_2_side.jpg,img/WOMEN/Jackets_Coats/id_00005019/03_1_front.jpg,img_seg/WOMEN/Jackets_Coats/id_00005019/03_2_side_segment.png,img_seg/WOMEN/Jackets_Coats/id_00005019/03_1_front_segment.png
37,img/WOMEN/Jackets_Coats/id_00000298/02_1_front.jpg,img/WOMEN/Jackets_Coats/id_00000298/02_2_side.jpg,img_seg/WOMEN/Jackets_Coats/id_00000298/02_1_front_segment.png,img_seg/WOMEN/Jackets_Coats/id_00000298/02_2_side_segment.png
39,img/WOMEN/Jackets_Coats/id_00000298/02_2_side.jpg,img/WOMEN/Jackets_Coats/id_00000298/02_1_front.jpg,img_seg/WOMEN/Jackets_Coats/id_00000298/02_2_side_segment.png,img_seg/WOMEN/Jackets_Coats/id_00000298/02_1_front_segment.png
47,img/WOMEN/Tees_Tanks/id_00003052/03_2_side.jpg,img/WOMEN/Tees_Tanks/id_00003052/03_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00003052/03_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00003052/03_1_front_segment.png
57,img/WOMEN/Tees_Tanks/id_00003052/03_1_front.jpg,img/WOMEN/Tees_Tanks/id_00003052/03_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00003052/03_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00003052/03_2_side_segment.png
60,img/WOMEN/Blouses_Shirts/id_00007192/02_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00007192/02_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00007192/02_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00007192/02_1_front_segment.png
63,img/WOMEN/Blouses_Shirts/id_00007192/02_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00007192/02_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00007192/02_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00007192/02_2_side_segment.png
74,img/WOMEN/Tees_Tanks/id_00007344/03_1_front.jpg,img/WOMEN/Tees_Tanks/id_00007344/03_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00007344/03_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007344/03_2_side_segment.png
81,img/WOMEN/Tees_Tanks/id_00007344/03_2_side.jpg,img/WOMEN/Tees_Tanks/id_00007344/03_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00007344/03_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007344/03_1_front_segment.png
87,img/WOMEN/Blouses_Shirts/id_00000255/02_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00000255/02_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00000255/02_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00000255/02_1_front_segment.png
92,img/WOMEN/Blouses_Shirts/id_00000255/02_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00000255/02_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00000255/02_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00000255/02_2_side_segment.png
99,img/WOMEN/Dresses/id_00005718/01_2_side.jpg,img/WOMEN/Dresses/id_00005718/01_1_front.jpg,img_seg/WOMEN/Dresses/id_00005718/01_2_side_segment.png,img_seg/WOMEN/Dresses/id_00005718/01_1_front_segment.png
104,img/WOMEN/Dresses/id_00005718/01_1_front.jpg,img/WOMEN/Dresses/id_00005718/01_2_side.jpg,img_seg/WOMEN/Dresses/id_00005718/01_1_front_segment.png,img_seg/WOMEN/Dresses/id_00005718/01_2_side_segment.png
114,img/WOMEN/Sweaters/id_00003826/01_2_side.jpg,img/WOMEN/Sweaters/id_00003826/01_1_front.jpg,img_seg/WOMEN/Sweaters/id_00003826/01_2_side_segment.png,img_seg/WOMEN/Sweaters/id_00003826/01_1_front_segment.png
121,img/WOMEN/Sweaters/id_00003826/01_1_front.jpg,img/WOMEN/Sweaters/id_00003826/01_2_side.jpg,img_seg/WOMEN/Sweaters/id_00003826/01_1_front_segment.png,img_seg/WOMEN/Sweaters/id_00003826/01_2_side_segment.png
124,img/MEN/Tees_Tanks/id_00007075/01_2_side.jpg,img/MEN/Tees_Tanks/id_00007075/01_1_front.jpg,img_seg/MEN/Tees_Tanks/id_00007075/01_2_side_segment.png,img_seg/MEN/Tees_Tanks/id_00007075/01_1_front_segment.png
127,img/MEN/Tees_Tanks/id_00007075/01_1_front.jpg,img/MEN/Tees_Tanks/id_00007075/01_2_side.jpg,img_seg/MEN/Tees_Tanks/id_00007075/01_1_front_segment.png,img_seg/MEN/Tees_Tanks/id_00007075/01_2_side_segment.png
139,img/WOMEN/Jackets_Coats/id_00001803/01_2_side.jpg,img/WOMEN/Jackets_Coats/id_00001803/01_1_front.jpg,img_seg/WOMEN/Jackets_Coats/id_00001803/01_2_side_segment.png,img_seg/WOMEN/Jackets_Coats/id_00001803/01_1_front_segment.png
141,img/WOMEN/Jackets_Coats/id_00001803/01_1_front.jpg,img/WOMEN/Jackets_Coats/id_00001803/01_2_side.jpg,img_seg/WOMEN/Jackets_Coats/id_00001803/01_1_front_segment.png,img_seg/WOMEN/Jackets_Coats/id_00001803/01_2_side_segment.png
142,img/WOMEN/Blouses_Shirts/id_00001753/03_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00001753/03_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00001753/03_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00001753/03_2_side_segment.png
145,img/WOMEN/Blouses_Shirts/id_00001753/03_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00001753/03_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00001753/03_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00001753/03_1_front_segment.png
159,img/WOMEN/Blouses_Shirts/id_00005693/01_1_front.jpg,img/WOMEN/Blouses_Shirts/id_00005693/01_2_side.jpg,img_seg/WOMEN/Blouses_Shirts/id_00005693/01_1_front_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00005693/01_2_side_segment.png
164,img/WOMEN/Blouses_Shirts/id_00005693/01_2_side.jpg,img/WOMEN/Blouses_Shirts/id_00005693/01_1_front.jpg,img_seg/WOMEN/Blouses_Shirts/id_00005693/01_2_side_segment.png,img_seg/WOMEN/Blouses_Shirts/id_00005693/01_1_front_segment.png
168,img/WOMEN/Tees_Tanks/id_00000490/02_1_front.jpg,img/WOMEN/Tees_Tanks/id_00000490/02_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00000490/02_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00000490/02_2_side_segment.png
178,img/WOMEN/Tees_Tanks/id_00000490/02_2_side.jpg,img/WOMEN/Tees_Tanks/id_00000490/02_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00000490/02_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00000490/02_1_front_segment.png
194,img/WOMEN/Tees_Tanks/id_00007721/33_2_side.jpg,img/WOMEN/Tees_Tanks/id_00007721/33_1_front.jpg,img_seg/WOMEN/Tees_Tanks/id_00007721/33_2_side_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007721/33_1_front_segment.png
197,img/WOMEN/Tees_Tanks/id_00007721/33_1_front.jpg,img/WOMEN/Tees_Tanks/id_00007721/33_2_side.jpg,img_seg/WOMEN/Tees_Tanks/id_00007721/33_1_front_segment.png,img_seg/WOMEN/Tees_Tanks/id_00007721/33_2_side_segment.png
